assembly	EHEC
GCF_002769055.1_ASM276905v1_genomic	1
GCF_002769075.1_ASM276907v1_genomic	1
GCF_002769095.1_ASM276909v1_genomic	1
GCF_002769115.1_ASM276911v1_genomic	1
GCF_002769135.1_ASM276913v1_genomic	1
GCF_002766395.1_ASM276639v1_genomic	1
GCF_002923875.1_ASM292387v1_genomic	1
GCF_002768315.1_ASM276831v1_genomic	1
GCF_002770175.1_ASM277017v1_genomic	1
GCF_003113735.1_ASM311373v1_genomic	1
GCF_002768415.1_ASM276841v1_genomic	1
GCF_002766475.1_ASM276647v1_genomic	1
GCF_002768555.1_ASM276855v1_genomic	1
GCF_002768575.1_ASM276857v1_genomic	1
GCF_002770335.1_ASM277033v1_genomic	1
GCF_002766535.1_ASM276653v1_genomic	1
GCF_002766555.1_ASM276655v1_genomic	1
GCF_003113855.1_ASM311385v1_genomic	1
GCF_002764355.1_ASM276435v1_genomic	1
GCF_002735205.1_ASM273520v1_genomic	1
GCF_008633625.1_ASM863362v1_genomic	1
GCF_008633645.1_ASM863364v1_genomic	1
GCF_008633665.1_ASM863366v1_genomic	1
GCF_008633685.1_ASM863368v1_genomic	1
GCF_008633705.1_ASM863370v1_genomic	1
GCF_008633725.1_ASM863372v1_genomic	1
GCF_008633745.1_ASM863374v1_genomic	1
GCF_008633765.1_ASM863376v1_genomic	1
GCF_008633785.1_ASM863378v1_genomic	1
GCF_008633805.1_ASM863380v1_genomic	1
GCF_008633825.1_ASM863382v1_genomic	1
GCF_002770415.1_ASM277041v1_genomic	1
GCF_002770455.1_ASM277045v1_genomic	1
GCF_003113055.1_ASM311305v1_genomic	1
GCF_003113555.1_ASM311355v1_genomic	1
GCF_002734625.1_ASM273462v1_genomic	1
GCF_002769235.1_ASM276923v1_genomic	1
GCF_003113415.1_ASM311341v1_genomic	1
GCF_003113635.1_ASM311363v1_genomic	1
GCF_003966465.1_ASM396646v1_genomic	1
GCF_008634735.1_ASM863473v1_genomic	1
GCF_008634825.1_ASM863482v1_genomic	1
GCF_008635365.1_ASM863536v1_genomic	1
GCF_008634855.1_ASM863485v1_genomic	1
GCF_008634885.1_ASM863488v1_genomic	1
GCF_008634905.1_ASM863490v1_genomic	1
GCF_008634925.1_ASM863492v1_genomic	1
GCF_008634945.1_ASM863494v1_genomic	1
GCF_008634965.1_ASM863496v1_genomic	1
GCF_008634985.1_ASM863498v1_genomic	1
GCF_008635005.1_ASM863500v1_genomic	1
GCF_008635025.1_ASM863502v1_genomic	1
GCF_008635045.1_ASM863504v1_genomic	1
GCF_008635065.1_ASM863506v1_genomic	1
GCF_008635085.1_ASM863508v1_genomic	1
GCF_008635125.1_ASM863512v1_genomic	1
GCF_008635145.1_ASM863514v1_genomic	1
GCF_008635165.1_ASM863516v1_genomic	1
GCF_008635185.1_ASM863518v1_genomic	1
GCF_008635205.1_ASM863520v1_genomic	1
GCF_008635225.1_ASM863522v1_genomic	1
GCF_008635245.1_ASM863524v1_genomic	1
GCF_008635295.1_ASM863529v1_genomic	1
GCF_008635315.1_ASM863531v1_genomic	1
GCF_008635345.1_ASM863534v1_genomic	1
GCF_008635385.1_ASM863538v1_genomic	1
GCF_008635445.1_ASM863544v1_genomic	1
GCF_008635545.1_ASM863554v1_genomic	1
GCF_008635405.1_ASM863540v1_genomic	1
GCF_008635425.1_ASM863542v1_genomic	1
GCF_008635465.1_ASM863546v1_genomic	1
GCF_008635485.1_ASM863548v1_genomic	1
GCF_008635505.1_ASM863550v1_genomic	1
GCF_008635525.1_ASM863552v1_genomic	1
GCF_008635565.1_ASM863556v1_genomic	1
GCF_008635585.1_ASM863558v1_genomic	1
GCF_008635605.1_ASM863560v1_genomic	1
GCF_008635625.1_ASM863562v1_genomic	1
GCF_008635645.1_ASM863564v1_genomic	1
GCF_008635665.1_ASM863566v1_genomic	1
GCF_008635685.1_ASM863568v1_genomic	1
GCF_008635705.1_ASM863570v1_genomic	1
GCF_008635725.1_ASM863572v1_genomic	1
GCF_008635745.1_ASM863574v1_genomic	1
GCF_008635765.1_ASM863576v1_genomic	1
GCF_008635835.1_ASM863583v1_genomic	1
GCF_008635855.1_ASM863585v1_genomic	1
GCF_008635875.1_ASM863587v1_genomic	1
GCF_008635895.1_ASM863589v1_genomic	1
GCF_008635915.1_ASM863591v1_genomic	1
GCF_008635935.1_ASM863593v1_genomic	1
GCF_008635965.1_ASM863596v1_genomic	1
GCF_013167355.1_ASM1316735v1_genomic	1
GCF_003347195.1_ASM334719v1_genomic	1
GCF_003347255.1_ASM334725v1_genomic	1
GCF_003347215.1_ASM334721v1_genomic	1
GCF_000695115.1_Ecoli97-3250v1_genomic	1
GCF_000695135.1_Ecoli97-3250v1_genomic	1
GCF_000695155.1_Ecoli4865_96v1_genomic	1
GCF_000695175.1_EcoliMI10-01v1_genomic	1
GCF_000797735.1_Escherichia_coli_CVM_N33552PS_v._1.0_genomic	1
GCF_003027325.1_ASM302732v1_genomic	1
GCF_001039075.2_ASM103907v2_genomic	1
GCF_001039125.2_ASM103912v2_genomic	1
GCF_001039145.2_ASM103914v2_genomic	1
GCF_001039215.2_ASM103921v2_genomic	1
GCF_001039205.2_ASM103920v2_genomic	1
GCF_001039225.2_ASM103922v2_genomic	1
GCF_003027285.1_ASM302728v1_genomic	1
GCF_003027255.1_ASM302725v1_genomic	1
GCF_003027235.1_ASM302723v1_genomic	1
GCF_003027335.1_ASM302733v1_genomic	1
GCF_003027185.1_ASM302718v1_genomic	1
GCF_003027135.1_ASM302713v1_genomic	1
GCF_003027175.1_ASM302717v1_genomic	1
GCF_013168035.1_ASM1316803v1_genomic	1
GCF_013168115.1_ASM1316811v1_genomic	1
GCF_001440355.1_ECO5_020_genomic	1
GCF_001440565.1_ASM144056v1_genomic	1
GCF_001440575.1_ASM144057v1_genomic	1
GCF_001440595.1_ASM144059v1_genomic	1
GCF_001440615.1_ASM144061v1_genomic	1
GCF_001440645.1_ASM144064v1_genomic	1
GCF_001440655.1_ASM144065v1_genomic	1
GCF_001440665.1_ASM144066v1_genomic	1
GCF_001440685.1_ASM144068v1_genomic	1
GCF_001440725.1_ASM144072v1_genomic	1
GCF_001440735.1_ASM144073v1_genomic	1
GCF_001440755.1_ASM144075v1_genomic	1
GCF_001440775.1_ASM144077v1_genomic	1
GCF_001440805.1_ASM144080v1_genomic	1
GCF_001455025.1_EC222071v1.0_genomic	1
GCF_001455035.2_EC22593v3_genomic	1
GCF_013185855.1_ASM1318585v1_genomic	1
GCF_005222365.1_ASM522236v1_genomic	1
GCF_005222345.1_ASM522234v1_genomic	1
GCF_001445675.1_ASM144567v1_genomic	1
GCF_002133985.1_ASM213398v1_genomic	1
GCF_002134405.1_ASM213440v1_genomic	1
GCF_002133615.1_ASM213361v1_genomic	1
GCF_002133605.1_ASM213360v1_genomic	1
GCF_005221725.1_ASM522172v1_genomic	1
GCF_002134145.1_ASM213414v1_genomic	1
GCF_002133685.1_ASM213368v1_genomic	1
GCF_002133665.1_ASM213366v1_genomic	1
GCF_002133695.1_ASM213369v1_genomic	1
GCF_002134175.1_ASM213417v1_genomic	1
GCF_002133755.1_ASM213375v1_genomic	1
GCF_002134525.1_ASM213452v1_genomic	1
GCF_002133745.1_ASM213374v1_genomic	1
GCF_002134565.1_ASM213456v1_genomic	1
GCF_002134575.1_ASM213457v1_genomic	1
GCF_002134625.1_ASM213462v1_genomic	1
GCF_002134685.1_ASM213468v1_genomic	1
GCF_002531215.1_ASM253121v1_genomic	1
GCF_002531205.1_ASM253120v1_genomic	1
GCF_002531185.1_ASM253118v1_genomic	1
GCF_002531175.1_ASM253117v1_genomic	1
GCF_002531125.1_ASM253112v1_genomic	1
GCF_002531115.1_ASM253111v1_genomic	1
GCF_002531105.1_ASM253110v1_genomic	1
GCF_002531095.1_ASM253109v1_genomic	1
GCF_002531045.1_ASM253104v1_genomic	1
GCF_002531035.1_ASM253103v1_genomic	1
GCF_002531015.1_ASM253101v1_genomic	1
GCF_002531025.1_ASM253102v1_genomic	1
GCF_002530975.1_ASM253097v1_genomic	1
GCF_002530955.1_ASM253095v1_genomic	1
GCF_002530945.1_ASM253094v1_genomic	1
GCF_002530935.1_ASM253093v1_genomic	1
GCF_002530865.1_ASM253086v1_genomic	1
GCF_002530875.1_ASM253087v1_genomic	1
GCF_002530855.1_ASM253085v1_genomic	1
GCF_002530885.1_ASM253088v1_genomic	1
GCF_002530805.1_ASM253080v1_genomic	1
GCF_005221885.1_ASM522188v1_genomic	1
GCF_005221585.1_ASM522158v1_genomic	1
GCF_005221565.1_ASM522156v1_genomic	1
GCF_000513035.1_E._coli_O157_genomic	1
GCF_013167655.1_ASM1316765v1_genomic	1
GCF_001619075.1_ASM161907v1_genomic	1
GCF_001619155.1_ASM161915v1_genomic	1
GCF_001619195.1_ASM161919v1_genomic	1
GCF_001619085.1_ASM161908v1_genomic	1
GCF_001619205.1_ASM161920v1_genomic	1
GCF_002133435.1_ASM213343v1_genomic	1
GCF_002134285.1_ASM213428v1_genomic	1
GCF_002134385.1_ASM213438v1_genomic	1
GCF_002134105.1_ASM213410v1_genomic	1
GCF_002134065.1_ASM213406v1_genomic	1
GCF_002134445.1_ASM213444v1_genomic	1
GCF_002531525.1_ASM253152v1_genomic	1
GCF_002531515.1_ASM253151v1_genomic	1
GCF_002531475.1_ASM253147v1_genomic	1
GCF_002134505.1_ASM213450v1_genomic	1
GCF_002531395.1_ASM253139v1_genomic	1
GCF_002134585.1_ASM213458v1_genomic	1
GCF_002133775.1_ASM213377v1_genomic	1
GCF_002134695.1_ASM213469v1_genomic	1
GCF_013167735.1_ASM1316773v1_genomic	1
GCF_013167715.1_ASM1316771v1_genomic	1
GCF_013167635.1_ASM1316763v1_genomic	1
GCF_013168055.1_ASM1316805v1_genomic	1
GCF_013167555.1_ASM1316755v1_genomic	1
GCF_013343595.1_ASM1334359v1_genomic	1
GCF_013167335.1_ASM1316733v1_genomic	1
GCF_013167315.1_ASM1316731v1_genomic	1
GCF_013167195.1_ASM1316719v1_genomic	1
GCF_002531445.1_ASM253144v1_genomic	1
GCF_002531325.1_ASM253132v1_genomic	1
GCF_002531305.1_ASM253130v1_genomic	1
GCF_002195335.1_ASM219533v1_genomic	1
GCF_002195325.1_ASM219532v1_genomic	1
GCF_002195475.1_ASM219547v1_genomic	1
GCF_002195485.1_ASM219548v1_genomic	1
GCF_002194555.1_ASM219455v1_genomic	1
GCF_002194605.1_ASM219460v1_genomic	1
GCF_002194595.1_ASM219459v1_genomic	1
GCF_002194675.1_ASM219467v1_genomic	1
GCF_002194705.1_ASM219470v1_genomic	1
GCF_002194715.1_ASM219471v1_genomic	1
GCF_002015675.1_ASM201567v1_genomic	1
GCF_002015595.1_ASM201559v1_genomic	1
GCF_002015635.1_ASM201563v1_genomic	1
GCF_002015475.1_ASM201547v1_genomic	1
GCF_002015625.1_ASM201562v1_genomic	1
GCF_002015855.1_ASM201585v1_genomic	1
GCF_002015825.1_ASM201582v1_genomic	1
GCF_002015815.1_ASM201581v1_genomic	1
GCF_002015765.1_ASM201576v1_genomic	1
GCF_002015775.1_ASM201577v1_genomic	1
GCF_002015735.1_ASM201573v1_genomic	1
GCF_002015755.1_ASM201575v1_genomic	1
GCF_002015515.1_ASM201551v1_genomic	1
GCF_002015705.1_ASM201570v1_genomic	1
GCF_002015695.1_ASM201569v1_genomic	1
GCF_002015435.1_ASM201543v1_genomic	1
GCF_002015465.1_ASM201546v1_genomic	1
GCF_002016215.1_ASM201621v1_genomic	1
GCF_002016205.1_ASM201620v1_genomic	1
GCF_002016285.1_ASM201628v1_genomic	1
GCF_002016195.1_ASM201619v1_genomic	1
GCF_002016275.1_ASM201627v1_genomic	1
GCF_002016225.1_ASM201622v1_genomic	1
GCF_002015555.1_ASM201555v1_genomic	1
GCF_002016165.1_ASM201616v1_genomic	1
GCF_002015615.1_ASM201561v1_genomic	1
GCF_002016155.1_ASM201615v1_genomic	1
GCF_002016135.1_ASM201613v1_genomic	1
GCF_002016075.1_ASM201607v1_genomic	1
GCF_002015545.1_ASM201554v1_genomic	1
GCF_002016085.1_ASM201608v1_genomic	1
GCF_002016065.1_ASM201606v1_genomic	1
GCF_002016055.1_ASM201605v1_genomic	1
GCF_002016015.1_ASM201601v1_genomic	1
GCF_002016025.1_ASM201602v1_genomic	1
GCF_002015965.1_ASM201596v1_genomic	1
GCF_002015945.1_ASM201594v1_genomic	1
GCF_002015535.1_ASM201553v1_genomic	1
GCF_002015935.1_ASM201593v1_genomic	1
GCF_002015975.1_ASM201597v1_genomic	1
GCF_002015895.1_ASM201589v1_genomic	1
GCF_002015885.1_ASM201588v1_genomic	1
GCF_002015875.1_ASM201587v1_genomic	1
GCF_002761795.1_ASM276179v1_genomic	1
GCF_003027415.1_ASM302741v1_genomic	1
GCF_003027315.1_ASM302731v1_genomic	1
GCF_003027395.1_ASM302739v1_genomic	1
GCF_003027355.1_ASM302735v1_genomic	1
GCF_003027215.1_ASM302721v1_genomic	1
GCF_003027145.1_ASM302714v1_genomic	1
GCF_002195795.1_ASM219579v1_genomic	1
GCF_002198005.1_ASM219800v1_genomic	1
GCF_003368495.2_ASM336849v2_genomic	1
GCF_003368525.2_ASM336852v2_genomic	1
GCF_003368435.2_ASM336843v2_genomic	1
GCF_009650175.1_ASM965017v1_genomic	1
GCF_010820825.1_ASM1082082v1_genomic	1
GCF_010820745.1_ASM1082074v1_genomic	1
GCF_003028135.1_ASM302813v1_genomic	1
GCF_003028275.1_ASM302827v1_genomic	1
GCF_003028045.1_ASM302804v1_genomic	1
GCF_003028145.1_ASM302814v1_genomic	1
GCF_003027995.1_ASM302799v1_genomic	1
GCF_003028245.1_ASM302824v1_genomic	1
GCF_003028115.1_ASM302811v1_genomic	1
GCF_003027955.1_ASM302795v1_genomic	1
GCF_003028095.1_ASM302809v1_genomic	1
GCF_003028195.1_ASM302819v1_genomic	1
GCF_003027915.1_ASM302791v1_genomic	1
GCF_003028075.1_ASM302807v1_genomic	1
GCF_003028035.1_ASM302803v1_genomic	1
GCF_003027965.1_ASM302796v1_genomic	1
GCF_003028205.1_ASM302820v1_genomic	1
GCF_003028175.1_ASM302817v1_genomic	1
GCF_003028015.1_ASM302801v1_genomic	1
GCF_003255705.1_ASM325570v1_genomic	1
GCF_003255655.1_ASM325565v1_genomic	1
GCF_003255465.1_ASM325546v1_genomic	1
GCF_003255275.1_ASM325527v1_genomic	1
GCF_003255265.1_ASM325526v1_genomic	1
GCF_003255645.1_ASM325564v1_genomic	1
GCF_003255635.1_ASM325563v1_genomic	1
GCF_003255425.1_ASM325542v1_genomic	1
GCF_003255255.1_ASM325525v1_genomic	1
GCF_003255415.1_ASM325541v1_genomic	1
GCF_003255405.1_ASM325540v1_genomic	1
GCF_003255625.1_ASM325562v1_genomic	1
GCF_003255245.1_ASM325524v1_genomic	1
GCF_003255195.1_ASM325519v1_genomic	1
GCF_003255355.1_ASM325535v1_genomic	1
GCF_003255335.1_ASM325533v1_genomic	1
GCF_003255165.1_ASM325516v1_genomic	1
GCF_003255185.1_ASM325518v1_genomic	1
GCF_003255575.1_ASM325557v1_genomic	1
GCF_003255175.1_ASM325517v1_genomic	1
GCF_003255565.1_ASM325556v1_genomic	1
GCF_003255555.1_ASM325555v1_genomic	1
GCF_003255105.1_ASM325510v1_genomic	1
GCF_003255095.1_ASM325509v1_genomic	1
GCF_003255345.1_ASM325534v1_genomic	1
GCF_003255545.1_ASM325554v1_genomic	1
GCF_003255505.1_ASM325550v1_genomic	1
GCF_003255085.1_ASM325508v1_genomic	1
GCF_003255495.1_ASM325549v1_genomic	1
GCF_003255115.1_ASM325511v1_genomic	1
GCF_003255475.1_ASM325547v1_genomic	1
GCF_003255325.1_ASM325532v1_genomic	1
GCF_013168215.1_ASM1316821v1_genomic	1
GCF_003722035.1_ASM372203v1_genomic	1
GCF_003721995.1_ASM372199v1_genomic	1
GCF_003721955.1_ASM372195v1_genomic	1
GCF_003721685.1_ASM372168v1_genomic	1
GCF_003721655.1_ASM372165v1_genomic	1
GCF_013168095.1_ASM1316809v1_genomic	1
GCF_013141925.1_ASM1314192v1_genomic	1
GCF_011029335.1_ASM1102933v1_genomic	1
GCF_011032645.1_ASM1103264v1_genomic	1
GCF_000747445.1_O157_09BKT048303_454_genomic	1
GCF_000747455.1_O157_T154306_454_genomic	1
GCF_001650275.1_ASM165027v1_genomic	1
GCF_001650295.1_ASM165029v1_genomic	1
GCF_015699955.1_ASM1569995v1_genomic	1
GCF_015699925.1_ASM1569992v1_genomic	1
GCF_015699915.1_ASM1569991v1_genomic	1
GCF_015699875.1_ASM1569987v1_genomic	1
GCF_015699885.1_ASM1569988v1_genomic	1
GCF_015699825.1_ASM1569982v1_genomic	1
GCF_015699785.1_ASM1569978v1_genomic	1
GCF_015699755.1_ASM1569975v1_genomic	1
GCF_015699725.1_ASM1569972v1_genomic	1
GCF_015699715.1_ASM1569971v1_genomic	1
GCF_008636025.1_ASM863602v1_genomic	1
GCF_013343615.1_ASM1334361v1_genomic	1
GCF_015687505.1_ASM1568750v1_genomic	1
GCF_015687575.1_ASM1568757v1_genomic	1
GCF_011029325.1_ASM1102932v1_genomic	1
GCF_011029285.1_ASM1102928v1_genomic	1
GCF_011032525.1_ASM1103252v1_genomic	1
GCF_011032445.1_ASM1103244v1_genomic	1
GCF_011032345.1_ASM1103234v1_genomic	1
GCF_011032185.1_ASM1103218v1_genomic	1
GCF_011032195.1_ASM1103219v1_genomic	1
GCF_011028055.1_ASM1102805v1_genomic	1
GCF_013413375.1_ASM1341337v1_genomic	1
GCF_013413345.1_ASM1341334v1_genomic	1
GCF_013413315.1_ASM1341331v1_genomic	1
GCF_013413285.1_ASM1341328v1_genomic	1
GCF_013413275.1_ASM1341327v1_genomic	1
GCF_013413235.1_ASM1341323v1_genomic	1
GCF_013413165.1_ASM1341316v1_genomic	1
GCF_013413215.1_ASM1341321v1_genomic	1
GCF_013413175.1_ASM1341317v1_genomic	1
GCF_013413135.1_ASM1341313v1_genomic	1
GCF_013413145.1_ASM1341314v1_genomic	1
GCF_013413115.1_ASM1341311v1_genomic	1
GCF_013413035.1_ASM1341303v1_genomic	1
GCF_013413055.1_ASM1341305v1_genomic	1
GCF_013413045.1_ASM1341304v1_genomic	1
GCF_013413065.1_ASM1341306v1_genomic	1
GCF_013413015.1_ASM1341301v1_genomic	1
GCF_013412965.1_ASM1341296v1_genomic	1
GCF_013413335.1_ASM1341333v1_genomic	1
GCF_013412955.1_ASM1341295v1_genomic	1
GCF_013412935.1_ASM1341293v1_genomic	1
GCF_013412915.1_ASM1341291v1_genomic	1
GCF_013412945.1_ASM1341294v1_genomic	1
GCF_013412895.1_ASM1341289v1_genomic	1
GCF_013412825.1_ASM1341282v1_genomic	1
GCF_013412835.1_ASM1341283v1_genomic	1
GCF_013412845.1_ASM1341284v1_genomic	1
GCF_013412815.1_ASM1341281v1_genomic	1
GCF_013412765.1_ASM1341276v1_genomic	1
GCF_013412755.1_ASM1341275v1_genomic	1
GCF_013185905.1_ASM1318590v1_genomic	1
GCF_013185885.1_ASM1318588v1_genomic	1
GCF_015699525.1_ASM1569952v1_genomic	1
GCF_013185845.1_ASM1318584v1_genomic	1
GCF_013185815.1_ASM1318581v1_genomic	1
GCF_013185805.1_ASM1318580v1_genomic	1
GCF_013185785.1_ASM1318578v1_genomic	1
GCF_013186735.1_ASM1318673v1_genomic	1
GCF_013185755.1_ASM1318575v1_genomic	1
GCF_013185725.1_ASM1318572v1_genomic	1
GCF_013185635.1_ASM1318563v1_genomic	1
GCF_013185625.1_ASM1318562v1_genomic	1
GCF_013185605.1_ASM1318560v1_genomic	1
GCF_013185575.1_ASM1318557v1_genomic	1
GCF_013185545.1_ASM1318554v1_genomic	1
GCF_013185535.1_ASM1318553v1_genomic	1
GCF_013202015.1_ASM1320201v1_genomic	1
GCF_013185525.1_ASM1318552v1_genomic	1
GCF_013185495.1_ASM1318549v1_genomic	1
GCF_013202035.1_ASM1320203v1_genomic	1
GCF_013185485.1_ASM1318548v1_genomic	1
GCF_013185445.1_ASM1318544v1_genomic	1
GCF_013185455.1_ASM1318545v1_genomic	1
GCF_015699965.1_ASM1569996v1_genomic	1
GCF_015699565.1_ASM1569956v1_genomic	1
GCF_015699515.1_ASM1569951v1_genomic	1
GCF_015699465.1_ASM1569946v1_genomic	1
GCF_015699455.1_ASM1569945v1_genomic	1
GCF_015699425.1_ASM1569942v1_genomic	1
GCF_015699855.1_ASM1569985v1_genomic	1
GCF_015699365.1_ASM1569936v1_genomic	1
GCF_015699355.1_ASM1569935v1_genomic	1
GCF_015699775.1_ASM1569977v1_genomic	1
GCF_015699255.1_ASM1569925v1_genomic	1
GCF_015699215.1_ASM1569921v1_genomic	1
GCF_015699065.1_ASM1569906v1_genomic	1
GCF_015698955.1_ASM1569895v1_genomic	1
GCF_015699655.1_ASM1569965v1_genomic	1
GCF_015698915.1_ASM1569891v1_genomic	1
GCF_015698925.1_ASM1569892v1_genomic	1
GCF_015698965.1_ASM1569896v1_genomic	1
